mi,GOOG,5,4,12157,3677,0,2.40,0.003125
mi,GOOG,5,4,7,15827,0,2.99,0.0
mi,GOOG,5,3,14157,1677,1,2.48,0.00625
mi,GOOG,5,3,15249,585,1,2.19,0.009375
mi,GOOG,5,3,15412,422,1,2.22,0.0125
mi,GOOG,5,2,15602,232,2,2.23,0.015625
mi,GOOG,5,2,15643,191,2,1.92,0.01875
mi,GOOG,5,2,15695,139,2,1.94,0.021875
mi,GOOG,5,2,15706,128,2,1.98,0.025
mi,GOOG,5,2,15725,109,2,1.75,0.028125
mi,GOOG,5,2,15743,91,2,2.55,0.03125
mi,GOOG,5,2,15753,81,2,1.86,0.034375
mi,GOOG,5,2,15768,66,2,1.78,0.0375
mi,GOOG,5,2,15773,61,2,1.89,0.040625
mi,GOOG,5,2,15778,56,2,1.97,0.04375
mi,GOOG,5,2,15781,53,2,2.11,0.046875
mi,GOOG,5,1,15793,41,3,1.89,0.05
mi,GOOG,10,4,11,15818,0,3.08,0.0
mi,GOOG,10,3,14036,1793,1,3.15,0.003125
mi,GOOG,10,3,15002,827,1,2.49,0.00625
mi,GOOG,10,3,15461,368,1,2.12,0.009375
mi,GOOG,10,3,15559,270,1,2.01,0.0125
mi,GOOG,10,2,15666,163,2,2.21,0.015625
mi,GOOG,10,2,15689,140,2,2.04,0.01875
mi,GOOG,10,2,15721,108,2,1.87,0.021875
mi,GOOG,10,2,15732,97,2,1.82,0.025
mi,GOOG,10,2,15748,81,2,1.73,0.028125
mi,GOOG,10,2,15756,73,2,1.78,0.03125
mi,GOOG,10,2,15764,65,2,2.09,0.034375
mi,GOOG,10,2,15774,55,2,2.26,0.0375
mi,GOOG,10,2,15780,49,2,1.87,0.040625
mi,GOOG,10,2,15784,45,2,1.89,0.04375
mi,GOOG,10,2,15787,42,2,1.87,0.046875
mi,GOOG,10,1,15794,35,3,1.80,0.05
mi,GOOG,50,4,51,15738,0,2.97,0.0
mi,GOOG,50,2,15426,363,2,3.45,0.003125
mi,GOOG,50,2,15575,214,2,3.06,0.00625
mi,GOOG,50,2,15659,130,2,2.92,0.009375
mi,GOOG,50,2,15678,111,2,2.98,0.0125
mi,GOOG,50,2,15710,79,2,2.54,0.015625
mi,GOOG,50,2,15717,72,2,2.24,0.01875
mi,GOOG,50,2,15731,58,2,2.25,0.021875
mi,GOOG,50,2,15733,56,2,2.37,0.025
mi,GOOG,50,2,15743,46,2,2.12,0.028125
mi,GOOG,50,2,15746,43,2,2.09,0.03125
mi,GOOG,50,2,15750,39,2,2.35,0.034375
mi,GOOG,50,2,15756,33,2,1.92,0.0375
mi,GOOG,50,2,15757,32,2,1.95,0.040625
mi,GOOG,50,2,15765,24,2,1.95,0.04375
mi,GOOG,50,2,15766,23,2,2.00,0.046875
mi,GOOG,50,1,15769,20,3,2.01,0.05
mi,GOOG,100,4,101,15638,0,3.66,0.0
mi,GOOG,100,2,15476,263,2,5.91,0.003125
mi,GOOG,100,2,15573,166,2,4.81,0.00625
mi,GOOG,100,2,15635,104,2,3.91,0.009375
mi,GOOG,100,2,15652,87,2,4.12,0.0125
mi,GOOG,100,2,15674,65,2,3.63,0.015625
mi,GOOG,100,2,15679,60,2,3.13,0.01875
mi,GOOG,100,2,15691,48,2,2.65,0.021875
mi,GOOG,100,2,15694,45,2,2.71,0.025
mi,GOOG,100,2,15702,37,2,2.33,0.028125
mi,GOOG,100,2,15704,35,2,2.33,0.03125
mi,GOOG,100,2,15707,32,2,2.70,0.034375
mi,GOOG,100,2,15710,29,2,2.88,0.0375
mi,GOOG,100,2,15711,28,2,2.33,0.040625
mi,GOOG,100,2,15719,20,2,3.00,0.04375
mi,GOOG,100,2,15720,19,2,2.06,0.046875
mi,GOOG,100,1,15723,16,3,2.17,0.05
mi,GOOG,150,4,152,15537,0,3.32,0.0
mi,GOOG,150,2,15468,221,2,7.00,0.003125
mi,GOOG,150,2,15539,150,2,6.49,0.00625
mi,GOOG,150,2,15595,94,2,5.46,0.009375
mi,GOOG,150,2,15607,82,2,4.99,0.0125
mi,GOOG,150,2,15627,62,2,4.10,0.015625
mi,GOOG,150,2,15635,54,2,4.07,0.01875
mi,GOOG,150,2,15649,40,2,3.51,0.021875
mi,GOOG,150,2,15650,39,2,3.12,0.025
mi,GOOG,150,2,15654,35,2,3.38,0.028125
mi,GOOG,150,2,15656,33,2,3.00,0.03125
mi,GOOG,150,2,15659,30,2,2.94,0.034375
mi,GOOG,150,2,15661,28,2,2.98,0.0375
mi,GOOG,150,2,15662,27,2,2.77,0.040625
mi,GOOG,150,2,15670,19,2,2.88,0.04375
mi,GOOG,150,2,15671,18,2,2.30,0.046875
mi,GOOG,150,1,15676,13,3,2.29,0.05
mi,GOOG,200,4,202,15437,0,3.18,0.0
mi,GOOG,200,2,15449,190,2,7.87,0.003125
mi,GOOG,200,2,15508,131,2,6.63,0.00625
mi,GOOG,200,2,15559,80,2,5.17,0.009375
mi,GOOG,200,2,15569,70,2,4.62,0.0125
mi,GOOG,200,2,15580,59,2,4.25,0.015625
mi,GOOG,200,2,15589,50,2,4.24,0.01875
mi,GOOG,200,2,15603,36,2,3.71,0.021875
mi,GOOG,200,2,15606,33,2,3.74,0.025
mi,GOOG,200,2,15607,32,2,3.55,0.028125
mi,GOOG,200,2,15609,30,2,2.81,0.03125
mi,GOOG,200,2,15612,27,2,3.42,0.034375
mi,GOOG,200,2,15613,26,2,3.07,0.0375
mi,GOOG,200,2,15614,25,2,2.48,0.040625
mi,GOOG,200,2,15621,18,2,2.88,0.04375
mi,GOOG,200,2,15622,17,2,2.33,0.046875
mi,GOOG,200,1,15628,11,3,2.29,0.05
mi,GOOG,250,4,251,15338,0,3.48,0.0
mi,GOOG,250,2,15448,141,2,6.41,0.003125
mi,GOOG,250,2,15487,102,2,6.41,0.00625
mi,GOOG,250,2,15523,66,2,4.16,0.009375
mi,GOOG,250,2,15532,57,2,3.86,0.0125
mi,GOOG,250,2,15542,47,2,3.67,0.015625
mi,GOOG,250,2,15548,41,2,3.23,0.01875
mi,GOOG,250,2,15560,29,2,3.01,0.021875
mi,GOOG,250,2,15562,27,2,3.24,0.025
mi,GOOG,250,2,15563,26,2,2.87,0.028125
mi,GOOG,250,2,15565,24,2,3.18,0.03125
mi,GOOG,250,2,15566,23,2,3.01,0.034375
mi,GOOG,250,2,15567,22,2,3.07,0.0375
mi,GOOG,250,2,15569,20,2,2.80,0.040625
mi,GOOG,250,1,15577,12,3,2.31,0.04375
mi,GOOG,250,1,15577,12,3,2.46,0.046875
mi,GOOG,250,0,15583,6,4,3.02,0.05
mi,GOOG,300,4,302,15237,0,3.11,0.0
mi,GOOG,300,2,15423,116,2,6.99,0.003125
mi,GOOG,300,2,15455,84,2,5.23,0.00625
mi,GOOG,300,2,15483,56,2,3.86,0.009375
mi,GOOG,300,2,15491,48,2,4.19,0.0125
mi,GOOG,300,2,15498,41,2,3.80,0.015625
mi,GOOG,300,2,15503,36,2,3.50,0.01875
mi,GOOG,300,2,15510,29,2,2.96,0.021875
mi,GOOG,300,2,15512,27,2,2.81,0.025
mi,GOOG,300,2,15514,25,2,3.01,0.028125
mi,GOOG,300,2,15515,24,2,2.76,0.03125
mi,GOOG,300,2,15516,23,2,2.94,0.034375
mi,GOOG,300,2,15517,22,2,2.82,0.0375
mi,GOOG,300,2,15519,20,2,2.63,0.040625
mi,GOOG,300,1,15527,12,3,2.39,0.04375
mi,GOOG,300,1,15527,12,3,2.63,0.046875
mi,GOOG,300,0,15533,6,4,2.15,0.05
mi,GOOG,350,4,351,15138,0,3.00,0.0
mi,GOOG,350,2,15384,105,2,6.93,0.003125
mi,GOOG,350,2,15414,75,2,6.54,0.00625
mi,GOOG,350,2,15438,51,2,4.50,0.009375
mi,GOOG,350,2,15445,44,2,4.57,0.0125
mi,GOOG,350,2,15451,38,2,3.78,0.015625
mi,GOOG,350,2,15454,35,2,4.11,0.01875
mi,GOOG,350,2,15460,29,2,3.04,0.021875
mi,GOOG,350,2,15462,27,2,3.86,0.025
mi,GOOG,350,2,15464,25,2,2.90,0.028125
mi,GOOG,350,2,15465,24,2,2.86,0.03125
mi,GOOG,350,2,15466,23,2,3.10,0.034375
mi,GOOG,350,2,15467,22,2,3.16,0.0375
mi,GOOG,350,2,15469,20,2,2.40,0.040625
mi,GOOG,350,1,15477,12,3,2.27,0.04375
mi,GOOG,350,1,15477,12,3,2.44,0.046875
mi,GOOG,350,0,15483,6,4,2.58,0.05
mi,GOOG,400,4,402,15037,0,3.22,0.0
mi,GOOG,400,2,15366,73,2,7.27,0.00625
mi,GOOG,400,2,15339,100,2,9.90,0.003125
mi,GOOG,400,2,15390,49,2,5.96,0.009375
mi,GOOG,400,2,15397,42,2,5.60,0.0125
mi,GOOG,400,2,15402,37,2,5.08,0.015625
mi,GOOG,400,2,15405,34,2,4.67,0.01875
mi,GOOG,400,2,15410,29,2,3.63,0.021875
mi,GOOG,400,2,15412,27,2,3.33,0.025
mi,GOOG,400,2,15414,25,2,3.88,0.028125
mi,GOOG,400,2,15415,24,2,3.78,0.03125
mi,GOOG,400,2,15416,23,2,3.21,0.034375
mi,GOOG,400,2,15417,22,2,2.82,0.0375
mi,GOOG,400,2,15419,20,2,3.04,0.040625
mi,GOOG,400,1,15427,12,3,2.50,0.04375
mi,GOOG,400,1,15427,12,3,2.78,0.046875
mi,GOOG,400,0,15433,6,4,2.41,0.05
mi,GOOG,450,4,452,14937,0,3.41,0.0
mi,GOOG,450,2,15295,94,2,10.11,0.003125
mi,GOOG,450,2,15317,72,2,8.86,0.00625
mi,GOOG,450,2,15341,48,2,6.62,0.009375
mi,GOOG,450,2,15348,41,2,5.82,0.0125
mi,GOOG,450,2,15352,37,2,5.33,0.015625
mi,GOOG,450,2,15355,34,2,4.90,0.01875
mi,GOOG,450,2,15360,29,2,4.46,0.021875
mi,GOOG,450,2,15362,27,2,4.37,0.025
mi,GOOG,450,2,15364,25,2,3.46,0.028125
mi,GOOG,450,2,15365,24,2,3.45,0.03125
mi,GOOG,450,2,15366,23,2,3.22,0.034375
mi,GOOG,450,2,15367,22,2,3.07,0.0375
mi,GOOG,450,2,15369,20,2,3.24,0.040625
mi,GOOG,450,1,15377,12,3,2.90,0.04375
mi,GOOG,450,1,15377,12,3,2.83,0.046875
mi,GOOG,450,0,15383,6,4,2.57,0.05
mi,GOOG,500,4,501,14838,0,2.95,0.0
mi,GOOG,500,2,15245,94,2,9.68,0.003125
mi,GOOG,500,2,15267,72,2,8.64,0.00625
mi,GOOG,500,2,15291,48,2,6.64,0.009375
mi,GOOG,500,2,15298,41,2,6.26,0.0125
mi,GOOG,500,2,15302,37,2,5.09,0.015625
mi,GOOG,500,2,15305,34,2,5.87,0.01875
mi,GOOG,500,2,15310,29,2,4.38,0.021875
mi,GOOG,500,2,15312,27,2,4.00,0.025
mi,GOOG,500,2,15314,25,2,3.94,0.028125
mi,GOOG,500,2,15315,24,2,4.22,0.03125
mi,GOOG,500,2,15316,23,2,3.37,0.034375
mi,GOOG,500,2,15317,22,2,3.53,0.0375
mi,GOOG,500,2,15319,20,2,3.05,0.040625
mi,GOOG,500,1,15327,12,3,2.97,0.04375
mi,GOOG,500,1,15327,12,3,2.72,0.046875
mi,GOOG,500,0,15333,6,4,2.43,0.05
